Citrine, interval:   60, k = 1.00, p < 0.0005, t(53) = -9.18, p < 0.0005
Citrine, interval: 120, k = 0.98, p < 0.0005, t(53) = -7.93, p < 0.0005
Citrine, interval: 180, k = 0.98, p < 0.0005, t(52) = -7.35, p < 0.0005
Citrine, interval: 240, k = 1.00, p < 0.0005, t(53) = -8.62, p < 0.0005
Citrine, interval: 300, k = 0.96, p < 0.0005, t(53) = -6.34, p < 0.0005
Elia, interval:   60, k = 0.76, p = 0.00, t(36) = -3.43, p = 0.00
Elia, interval: 120, k = NaN, p = NaN, t(nan) = nan, p = nan
Elia, interval: 180, k = NaN, p = NaN, t(nan) = nan, p = nan
Elia, interval: 240, k = NaN, p = NaN, t(nan) = nan, p = nan
Elia, interval: 300, k = 0.62, p < 0.0005, t(41) = -4.42, p < 0.0005
