"","Feeder_Interval_in_seconds","Subject","date","Weight","session_consumption","sess_consump_g_per_kg","total_daily_water","overnight_consumption","mean_sess_consump"
"386","NA (baseline or weekend)","Bernie",2023-09-28,4.95,73,14.7474747474747,256,183,111.75
"387","NA (baseline or weekend)","Elia",2023-09-29,3.8,146,38.421052631579,273,127,148.818181818182
"388","NA (baseline or weekend)","Bernie",2023-09-29,4.95,64,12.9292929292929,130,66,111.75
"389","NA (baseline or weekend)","Elia",2023-09-30,3.8,132,34.7368421052632,301,169,148.818181818182
"390","NA (baseline or weekend)","Bernie",2023-09-30,4.95,103,20.8080808080808,159,56,111.75
"391","NA (baseline or weekend)","Bernie",2023-10-01,4.95,42,8.48484848484848,157,115,111.75
"392","NA (baseline or weekend)","Elia",2023-10-01,3.8,128,33.6842105263158,NA,NA,148.818181818182
"393","60","Bernie",2023-10-02,5,4,0.8,179,175,36
"394","60","Bernie",2023-10-03,5,38,7.6,152,114,36
"395","60","Bernie",2023-10-04,5,NA,NA,NA,NA,36
"396","60","Bernie",2023-10-05,5,48,9.6,152,104,36
"397","60","Bernie",2023-10-06,5,54,10.8,182,128,36
"398","NA (baseline or weekend)","Bernie",2023-10-07,5,104,20.8,192,88,111.75
"399","NA (baseline or weekend)","Bernie",2023-10-08,5,46,9.2,172,126,111.75
"400","NA (baseline or weekend)","Bernie",2023-10-09,4.95,97,19.5959595959596,191,94,111.75
"401","NA (baseline or weekend)","Bernie",2023-10-10,4.95,131,26.4646464646465,220,89,111.75
"402","NA (baseline or weekend)","Bernie",2023-10-11,4.95,82,16.5656565656566,137,55,111.75
"403","NA (baseline or weekend)","Bernie",2023-10-12,4.95,115,23.2323232323232,191,76,111.75
"404","NA (baseline or weekend)","Bernie",2023-10-13,4.95,88,17.7777777777778,129,41,111.75
"405","NA (baseline or weekend)","Bernie",2023-10-14,4.95,90,18.1818181818182,196,106,111.75
"406","NA (baseline or weekend)","Bernie",2023-10-15,4.95,54,10.9090909090909,157,103,111.75
"407","120","Bernie",2023-10-16,4.85,68,14.020618556701,105,37,61.5
"408","120","Bernie",2023-10-17,4.85,48,9.89690721649485,848,800,61.5
"409","120","Bernie",2023-10-18,4.85,75,15.4639175257732,144,69,61.5
"410","120","Bernie",2023-10-19,4.85,61,12.5773195876289,210,149,61.5
"411","120","Bernie",2023-10-20,4.85,54,11.1340206185567,200,146,61.5
"412","NA (baseline or weekend)","Bernie",2023-10-21,4.85,115,23.7113402061856,233,118,111.75
"413","120","Bernie",2023-10-22,4.85,63,12.9896907216495,252,189,61.5
"414","NA (baseline or weekend)","Bernie",2023-10-23,4.75,112,23.5789473684211,179,67,111.75
"415","NA (baseline or weekend)","Bernie",2023-10-24,4.75,129,27.1578947368421,204,75,111.75
"416","NA (baseline or weekend)","Bernie",2023-10-25,4.75,4,0.842105263157895,254,250,111.75
"417","NA (baseline or weekend)","Bernie",2023-10-26,4.75,NA,NA,NA,83,111.75
"418","NA (baseline or weekend)","Bernie",2023-10-27,4.75,80,16.8421052631579,116,36,111.75
"419","NA (baseline or weekend)","Bernie",2023-10-28,4.75,68,14.3157894736842,229,161,111.75
"420","NA (baseline or weekend)","Bernie",2023-10-29,4.75,186,39.1578947368421,267,81,111.75
